AphiaID_accepted,ScientificName_accepted,obis_records,inf_epi,plank_larv,biotic_SpeciesName,biotic_AphiaID,Phylum,Class,Order,Family,in_pres_abs_data,n_habs,rock,mud,sand,Other_species,coarse,Algae,Seagrass,Pelagic,Maerl,Strandline
129777,Ampharete falcata,1582,Infaunal,Yes,Ampharete falcata,129777,Annelida,Polychaeta,Terebellida,Ampharetidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
100936,Amphianthus dohrnii,40,Epifaunal,Yes,Amphianthus dohrnii,100936,Cnidaria,Anthozoa,Actiniaria,Amphianthidae,TRUE,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
125064,Amphipholis squamata,13606,NA,No,Amphipholis squamata,125064,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,TRUE,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
125073,Amphiura chiajei,8598,Infaunal,Yes,Amphiura chiajei,125073,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
125080,Amphiura filiformis,19193,Infaunal,Yes,Amphiura filiformis,125080,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
124201,Antedon bifida,794,Epifaunal,Yes,Antedon bifida,124201,Echinodermata,Crinoidea,Comatulida,Antedonidae,FALSE,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
129938,Aphelochaeta marioni,13008,Infaunal,Yes,Aphelochaeta marioni,129938,Annelida,Polychaeta,Terebellida,Cirratulidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
129840,Aphrodita aculeata,5522,Infaunal,Yes,Aphrodita aculeata,129840,Annelida,Polychaeta,Phyllodocida,Aphroditidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
138760,Aporrhais pespelecani,1820,Infaunal,Yes,Aporrhais pespelecani,138760,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
138802,Arctica islandica,19421,Infaunal,Yes,Arctica islandica,138802,Mollusca,Bivalvia,Venerida,Arcticidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
129868,Arenicola marina,10458,Infaunal,Yes,Arenicola marina,129868,Annelida,Polychaeta,NA,Arenicolidae,TRUE,4,NA,1,1,NA,1,NA,1,NA,NA,NA
130485,Armandia cirrhosa,123,Infaunal,Yes,Armandia cirrhosa,130485,Annelida,Polychaeta,NA,Opheliidae,FALSE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
103719,Ascidiella scabra,1553,Epifaunal,Yes,Ascidiella scabra,103719,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,TRUE,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
138824,Astarte sulcata,1584,Infaunal,Yes,Astarte sulcata,138824,Mollusca,Bivalvia,Carditida,Astartidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
123776,Asterias rubens,21330,Epifaunal,Yes,Asterias rubens,123776,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,TRUE,3,1,NA,1,NA,1,NA,NA,NA,NA,NA
123987,Asterina gibbosa,356,Epifaunal,Yes,Asterina gibbosa,123987,Echinodermata,Asteroidea,Valvatida,Asterinidae,FALSE,3,1,NA,1,NA,1,NA,NA,NA,NA,NA
123990,Asterina phylactica,16,NA,Unknown,Asterina phylactica,123990,Echinodermata,Asteroidea,Valvatida,Asterinidae,FALSE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
146524,Atrina fragilis,124,Infaunal,Yes,Atrina fragilis,146524,Mollusca,Bivalvia,Ostreida,Pinnidae,FALSE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
132473,Axinella dissimilis,140,Epifaunal,Yes,Axinella dissimilis,132473,Porifera,Demospongiae,Axinellida,Axinellidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
106215,Balanus crenatus,8395,Epifaunal,Yes,Balanus crenatus,106215,Arthropoda,Hexanauplia,Sessilia,Balanidae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
100817,Bolocera tuediae,312,Epifaunal,Yes,Bolocera tuediae,100817,Cnidaria,Anthozoa,Actiniaria,Actiniidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
103862,Botryllus schlosseri,3596,Epifaunal,Yes,Botryllus schlosseri,103862,Chordata,Ascidiacea,Stolidobranchia,Styelidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
124373,Brissopsis lyrifera,2294,Infaunal,Yes,Brissopsis lyrifera,124373,Echinodermata,Echinoidea,Spatangoida,Brissidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
138878,Buccinum undatum,14240,Epifaunal,No,Buccinum undatum,138878,Mollusca,Gastropoda,Neogastropoda,Buccinidae,TRUE,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
834020,Bugulina turbinata,275,Epifaunal,Yes,Bugula turbinata,111166,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
138945,Caecum armoricum,1,Epifaunal,Unknown,Caecum armoricum,138945,Mollusca,Gastropoda,Littorinimorpha,Caecidae,FALSE,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
107729,Callianassa subterranea,3702,Infaunal,Yes,Callianassa subterranea,107729,Arthropoda,Malacostraca,Decapoda,Callianassidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
107276,Cancer pagurus,14547,Epifaunal,Yes,Cancer pagurus,107276,Arthropoda,Malacostraca,Decapoda,Cancridae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
129876,Capitella capitata,20494,Infaunal,Yes,Capitella capitata,129876,Annelida,Polychaeta,NA,Capitellidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
135144,Caryophyllia (Caryophyllia) smithii,2539,Epifaunal,Yes,Caryophyllia smithii,1288958,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,TRUE,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA
138998,Cerastoderma edule,14900,Infaunal,Yes,Cerastoderma edule,138998,Mollusca,Bivalvia,Cardiida,Cardiidae,TRUE,3,NA,1,1,NA,NA,NA,1,NA,NA,NA
138999,Cerastoderma glaucum,13558,Infaunal,Yes,Cerastoderma glaucum,138999,Mollusca,Bivalvia,Cardiida,Cardiidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
283798,Cerianthus lloydii,5558,Infaunal,Yes,Cerianthus lloydii,283798,Cnidaria,Anthozoa,Spirularia,Cerianthidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
129914,Chaetopterus variopedatus,2068,Both,Yes,Chaetopterus variopedatus,129914,Annelida,Polychaeta,NA,Chaetopteridae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
129955,Chaetozone setosa,16655,Infaunal,Yes,Chaetozone setosa,129955,Annelida,Polychaeta,Terebellida,Cirratulidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
106230,Chthamalus montagui,677,Epifaunal,Yes,Chthamalus montagui,106230,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
106231,Chthamalus stellatus,1919,Epifaunal,Yes,Chthamalus stellatus,106231,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
103732,Ciona intestinalis,3344,Epifaunal,Yes,Ciona intestinalis,103732,Chordata,Ascidiacea,Phlebobranchia,Cionidae,TRUE,3,1,NA,NA,1,NA,1,NA,NA,NA,NA
129959,Cirratulus cirratus,1504,Infaunal,Yes,Cirratulus cirratus,129959,Annelida,Polychaeta,Terebellida,Cirratulidae,TRUE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
103552,Clavelina lepadiformis,904,Epifaunal,Yes,Clavelina lepadiformis,103552,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
111351,Conopeum reticulum,3301,Epifaunal,Yes,Conopeum reticulum,111351,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,TRUE,4,1,NA,NA,1,1,1,NA,NA,NA,NA
139410,Corbula gibba,46175,Infaunal,Yes,Corbula gibba,139410,Mollusca,Bivalvia,Myida,Corbulidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
117428,Cordylophora caspia,809,Epifaunal,Yes,Cordylophora caspia,117428,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
102101,Corophium volutator,23547,Infaunal,No,Corophium volutator,102101,Arthropoda,Malacostraca,Amphipoda,Corophiidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
138963,Crepidula fornicata,7723,Epifaunal,Yes,Crepidula fornicata,138963,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,TRUE,5,1,1,1,1,1,NA,NA,NA,NA,NA
103882,Dendrodoa grossularia,5384,Epifaunal,Yes,Dendrodoa grossularia,103882,Chordata,Ascidiacea,Stolidobranchia,Styelidae,TRUE,3,1,NA,NA,1,NA,1,NA,NA,NA,NA
103890,Distomus variolosus,212,Epifaunal,Yes,Distomus variolosus,103890,Chordata,Ascidiacea,Stolidobranchia,Styelidae,TRUE,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
130987,Ditrupa arietina,949,Both,Yes,Ditrupa arietina,130987,Annelida,Polychaeta,Sabellida,Serpulidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
124392,Echinocardium cordatum,17637,Infaunal,Yes,Echinocardium cordatum,124392,Echinodermata,Echinoidea,Spatangoida,Loveniidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
124273,Echinocyamus pusillus,13646,Infaunal,Yes,Echinocyamus pusillus,124273,Echinodermata,Echinoidea,Clypeasteroida,Fibulariidae,TRUE,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA
100888,Edwardsia ivelli,3,Infaunal,Yes,Edwardsia ivelli,100888,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
111355,Electra pilosa,9206,Epifaunal,Yes,Electra pilosa,111355,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,TRUE,4,1,NA,NA,1,NA,1,1,NA,NA,NA
140733,Ensis ensis,2138,Infaunal,Yes,Ensis ensis,140733,Mollusca,Bivalvia,Adapedonta,Pharidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
125366,Eunicella verrucosa,328,Epifaunal,Yes,Eunicella verrucosa,125366,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
118852,Eurydice pulchra,2775,Infaunal,Unknown,Eurydice pulchra,118852,Arthropoda,Malacostraca,Isopoda,Cirolanidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
111367,Flustra foliacea,5756,Epifaunal,Yes,Flustra foliacea,111367,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
128506,Funiculina quadrangularis,836,Epifaunal,Yes,Funiculina quadrangularis,128506,Cnidaria,Anthozoa,Pennatulacea,Funiculinidae,FALSE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
165801,Halichondria (Halichondria) bowerbanki,347,Epifaunal,Yes,Halichondria bowerbanki,132588,Porifera,Demospongiae,Suberitida,Halichondriidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
165853,Halichondria (Halichondria) panicea,3839,Epifaunal,Yes,Halichondria panicea,132627,Porifera,Demospongiae,Suberitida,Halichondriidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
152302,Hediste diversicolor,42458,Infaunal,Yes,Hediste diversicolor,152302,Annelida,Polychaeta,Phyllodocida,Nereididae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
147459,Patella pellucida,466,Epifaunal,Yes,Helcion pellucidum,162669,Mollusca,Gastropoda,NA,Patellidae,TRUE,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
123970,Henricia oculata,484,Epifaunal,Yes,Henricia oculata,123970,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
130464,Hyalinoecia tubicola,1388,NA,Yes,Hyalinoecia tubicola,130464,Annelida,Polychaeta,Eunicida,Onuphidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
117890,Hydrallmania falcata,5350,Epifaunal,Yes,Hydrallmania falcata,117890,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,TRUE,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA
151628,Peringia ulvae,72694,Epifaunal,Yes,Hydrobia ulvae,140126,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
107327,Inachus dorsettensis,1711,Epifaunal,Yes,Inachus dorsettensis,107327,Arthropoda,Malacostraca,Decapoda,Inachidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
110462,Iphinoe trispinosa,2298,NA,No,Iphinoe trispinosa,110462,Arthropoda,Malacostraca,Cumacea,Bodotriidae,TRUE,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA
102431,Jassa falcata,522,Epifaunal,No,Jassa falcata,102431,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,TRUE,3,1,NA,NA,1,NA,1,NA,NA,NA,NA
140170,Lacuna vincta,1471,Epifaunal,Yes,Lacuna vincta,140170,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,TRUE,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
131495,Lanice conchilega,20579,Infaunal,Yes,Lanice conchilega,131495,Annelida,Polychaeta,Terebellida,Terebellidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
135193,Leptopsammia pruvoti,83,Epifaunal,Yes,Leptopsammia pruvoti,135193,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
124465,Leptosynapta inhaerens,3086,NA,No,Leptosynapta inhaerens,124465,Echinodermata,Holothuroidea,Apodida,Synaptidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
107387,Liocarcinus depurator,5327,Both,Yes,Liocarcinus depurator,107387,Arthropoda,Malacostraca,Decapoda,Polybiidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
140262,Littorina littorea,7772,Epifaunal,Yes,Littorina littorea,140262,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
880017,Limecola balthica,76509,Infaunal,Yes,Macoma balthica,141579,Mollusca,Bivalvia,Cardiida,Tellinidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
107397,Macropipus tuberculatus,1019,Epifaunal,Yes,Macropipus tuberculatus,107397,Arthropoda,Malacostraca,Decapoda,Polybiidae,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
130271,Magelona mirabilis,10060,Infaunal,Yes,Magelona mirabilis,130271,Annelida,Polychaeta,NA,Magelonidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
107350,Maja squinado,1270,Epifaunal,Yes,Maja squinado,107350,Arthropoda,Malacostraca,Decapoda,Majidae,TRUE,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA
129892,Mediomastus fragilis,17191,Epifaunal,Yes,Mediomastus fragilis,129892,Annelida,Polychaeta,NA,Capitellidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
100982,Metridium senile,1848,Epifaunal,Yes,Metridium senile,100982,Cnidaria,Anthozoa,Actiniaria,Metridiidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140467,Modiolus modiolus,3557,Both,Yes,Modiolus modiolus,140467,Mollusca,Bivalvia,Mytilida,Mytilidae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
103788,Molgula manhattensis,1695,Epifaunal,Yes,Molgula manhattensis,103788,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,TRUE,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA
148714,Morchellium argus,418,Epifaunal,Yes,Morchellium argus,148714,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140472,Musculus discors,1796,Epifaunal,No,Musculus discors,140472,Mollusca,Bivalvia,Mytilida,Mytilidae,TRUE,4,1,1,NA,NA,1,1,NA,NA,NA,NA
140430,Mya arenaria,38424,Infaunal,Yes,Mya arenaria,140430,Mollusca,Bivalvia,Myida,Myidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
345281,Kurtiella bidentata,55119,Infaunal,Yes,Mysella bidentata,140380,Mollusca,Bivalvia,Galeommatida,Lasaeidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
140480,Mytilus edulis,72972,Epifaunal,Yes,Mytilus edulis,140480,Mollusca,Bivalvia,Mytilida,Mytilidae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
130387,Neanthes fucata,173,Both,Yes,Neanthes fucata,130387,Annelida,Polychaeta,Phyllodocida,Nereididae,TRUE,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
100906,Nematostella vectensis,233,Both,Yes,Nematostella vectensis,100906,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,TRUE,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA
117809,Nemertesia antennina,2096,Epifaunal,Yes,Nemertesia antennina,117809,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
117815,Nemertesia ramosa,1042,Epifaunal,Yes,Nemertesia ramosa,117815,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,TRUE,3,1,NA,NA,NA,1,NA,NA,NA,1,NA
235385,Novocrania anomala,337,Epifaunal,Yes,Neocrania anomala,104051,Brachiopoda,Craniata,Craniida,Craniidae,FALSE,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA
124685,Neopentadactyla mixta,274,Infaunal,Unknown,Neopentadactyla mixta,124685,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,TRUE,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA
107254,Nephrops norvegicus,24678,Infaunal,Yes,Nephrops norvegicus,107254,Arthropoda,Malacostraca,Decapoda,Nephropidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
130357,Nephtys cirrosa,19351,Infaunal,Yes,Nephtys cirrosa,130357,Annelida,Polychaeta,Phyllodocida,Nephtyidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
130359,Nephtys hombergii,52111,Infaunal,Yes,Nephtys hombergii,130359,Annelida,Polychaeta,Phyllodocida,Nephtyidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
140403,Nucella lapillus,24141,Epifaunal,Unknown,Nucella lapillus,140403,Mollusca,Gastropoda,Neogastropoda,Muricidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140589,Nucula nitidosa,13140,Infaunal,Yes,Nucula nitidosa,140589,Mollusca,Bivalvia,Nuculida,Nuculidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
140592,Nucula sulcata,1464,Infaunal,Unknown,Nucula sulcata,140592,Mollusca,Bivalvia,Nuculida,Nuculidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
117389,Obelia longissima,1009,Epifaunal,Yes,Obelia longissima,117389,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,TRUE,5,1,NA,1,1,1,1,NA,NA,NA,NA
125131,Ophiothrix fragilis,5062,Epifaunal,Yes,Ophiothrix fragilis,125131,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,TRUE,5,1,1,NA,1,1,NA,NA,NA,1,NA
124913,Ophiura albida,24592,Epifaunal,Unknown,Ophiura albida,124913,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
689176,Phorcus lineatus,1064,Epifaunal,Yes,Osilinus lineatus,141827,Mollusca,Gastropoda,Trochida,Trochidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140658,Ostrea edulis,1096,Epifaunal,Yes,Ostrea edulis,140658,Mollusca,Bivalvia,Ostreida,Ostreidae,TRUE,4,1,1,1,NA,1,NA,NA,NA,NA,NA
130544,Owenia fusiformis,19050,Infaunal,Yes,Owenia fusiformis,130544,Annelida,Polychaeta,NA,Oweniidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
107703,Palinurus elephas,701,Epifaunal,Yes,Palinurus elephas,107703,Arthropoda,Malacostraca,Decapoda,Palinuridae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140266,Melarhaphe neritoides,800,Epifaunal,Unknown,Paludinella litorina,140266,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
140684,Patella ulyssiponensis,288,Epifaunal,Yes,Patella ulyssiponensis,140684,Mollusca,Gastropoda,NA,Patellidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140685,Patella vulgata,2030,Epifaunal,Yes,Patella vulgata,140685,Mollusca,Gastropoda,NA,Patellidae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
140712,Pecten maximus,1281,Epifaunal,Yes,Pecten maximus,140712,Mollusca,Bivalvia,Pectinida,Pectinidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
128517,Pennatula phosphorea,2370,Both,Yes,Pennatula phosphorea,128517,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,TRUE,3,NA,1,1,NA,1,NA,NA,NA,NA,NA
111082,Pentapora fascialis,956,Epifaunal,Yes,Pentapora fascialis,111082,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
140744,Philine aperta,4726,Infaunal,Yes,Philine aperta,140744,Mollusca,Gastropoda,Cephalaspidea,Philinidae,TRUE,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
140770,Pholas dactylus,62,Infaunal,Yes,Pholas dactylus,140770,Mollusca,Bivalvia,Myida,Pholadidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
107188,Pisidia longicornis,9829,Epifaunal,Yes,Pisidia longicornis,107188,Arthropoda,Malacostraca,Decapoda,Porcellanidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
131141,Polydora ciliata,6025,Epifaunal,Yes,Polydora ciliata,131141,Annelida,Polychaeta,Spionida,Spionidae,TRUE,4,1,1,NA,1,NA,1,NA,NA,NA,NA
555935,Spirobranchus triqueter,9322,Epifaunal,Yes,Pomatoceros triqueter,131027,Annelida,Polychaeta,Sabellida,Serpulidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
100913,Protanthea simplex,184,Epifaunal,Yes,Protanthea simplex,100913,Cnidaria,Anthozoa,Actiniaria,Gonactiniidae,FALSE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
124319,Psammechinus miliaris,6240,Epifaunal,Yes,Psammechinus miliaris,124319,Echinodermata,Echinoidea,Camarodonta,Parechinidae,TRUE,5,1,1,1,NA,1,1,NA,NA,NA,NA
130866,Sabellaria alveolata,2518,Epifaunal,Yes,Sabellaria alveolata,130866,Annelida,Polychaeta,NA,Sabellariidae,TRUE,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA
130867,Sabellaria spinulosa,7965,Epifaunal,Yes,Sabellaria spinulosa,130867,Annelida,Polychaeta,NA,Sabellariidae,TRUE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
100991,Sagartia elegans,1478,NA,Yes,Sagartia elegans,100991,Cnidaria,Anthozoa,Actiniaria,Sagartiidae,TRUE,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA
101002,Sagartiogeton undatus,635,Epifaunal,Yes,Sagartiogeton undatus,101002,Cnidaria,Anthozoa,Actiniaria,Sagartiidae,TRUE,3,1,NA,1,NA,1,NA,NA,NA,NA,NA
139488,Scaphander lignarius,473,NA,Unknown,Scaphander lignarius,139488,Mollusca,Gastropoda,Cephalaspidea,Scaphandridae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
130537,Scoloplos armiger,60569,Infaunal,Yes,Scoloplos armiger,130537,Annelida,Polychaeta,NA,Orbiniidae,TRUE,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
